hdl:1774.2/2086 levy:034.004
hdl:1774.2/2338 levy:146.066
hdl:1774.2/2339 levy:012.039
hdl:1774.2/2340 levy:022.022
hdl:1774.2/2341 levy:029.034
hdl:1774.2/2342 levy:116.124
hdl:1774.2/2343 levy:164.023
hdl:1774.2/2344 levy:089.171
hdl:1774.2/2345 levy:004.031
hdl:1774.2/2346 levy:143.152
hdl:1774.2/2347 levy:008.046
hdl:1774.2/2348 levy:162.091
hdl:1774.2/2349 levy:176.074
hdl:1774.2/2350 levy:174.140
hdl:1774.2/2351 levy:078.132
hdl:1774.2/2352 levy:022.070
hdl:1774.2/2353 levy:096.170
hdl:1774.2/2354 levy:148.121
hdl:1774.2/2355 levy:170.126
hdl:1774.2/2356 levy:016.073
hdl:1774.2/2357 levy:036.110
hdl:1774.2/2358 levy:170.066
hdl:1774.2/2359 levy:191a.076
hdl:1774.2/2360 levy:191a.024
hdl:1774.2/2361 levy:158.134
hdl:1774.2/2362 levy:146.094a
hdl:1774.2/2363 levy:154a.132
hdl:1774.2/2364 levy:106.207
hdl:1774.2/2365 levy:148.162
hdl:1774.2/2366 levy:022.036
hdl:1774.2/2367 levy:043.020a
hdl:1774.2/2368 levy:041.118
hdl:1774.2/2369 levy:191a.192
hdl:1774.2/2370 levy:159.062
hdl:1774.2/2371 levy:189.179
hdl:1774.2/2372 levy:103.109
hdl:1774.2/2373 levy:154a.116
hdl:1774.2/2374 levy:120.132
hdl:1774.2/2375 levy:003.077
hdl:1774.2/2376 levy:030.065
hdl:1774.2/2377 levy:109.050
hdl:1774.2/2378 levy:063.018
hdl:1774.2/2379 levy:193.068
hdl:1774.2/2380 levy:190.198
hdl:1774.2/2381 levy:141.088
hdl:1774.2/2382 levy:006.079
hdl:1774.2/2383 levy:067.069
hdl:1774.2/2384 levy:151.097a
hdl:1774.2/2385 levy:106.234a
hdl:1774.2/2386 levy:006.097
hdl:1774.2/2387 levy:101.014
hdl:1774.2/2388 levy:041.086
hdl:1774.2/2390 levy:015.070
hdl:1774.2/2391 levy:177.062
hdl:1774.2/2392 levy:156.139
hdl:1774.2/2393 levy:030.101b
hdl:1774.2/2394 levy:079.044
hdl:1774.2/2395 levy:032.120
hdl:1774.2/2396 levy:145.049
hdl:1774.2/2397 levy:080.203
hdl:1774.2/2398 levy:131.147
hdl:1774.2/2399 levy:190.154
hdl:1774.2/2400 levy:178.009
hdl:1774.2/2401 levy:128.065
hdl:1774.2/2402 levy:170.013
hdl:1774.2/2403 levy:088.145
hdl:1774.2/2404 levy:105.120
hdl:1774.2/2405 levy:067.029
hdl:1774.2/2406 levy:005.072
hdl:1774.2/2407 levy:157.057
hdl:1774.2/2408 levy:190.013
hdl:1774.2/2409 levy:174.071
hdl:1774.2/2410 levy:095.050
hdl:1774.2/2411 levy:149.111
hdl:1774.2/2412 levy:079.043
hdl:1774.2/2413 levy:039.007
hdl:1774.2/2414 levy:091.007
hdl:1774.2/2415 levy:014.051
hdl:1774.2/2416 levy:173.009
hdl:1774.2/2417 levy:184.112
hdl:1774.2/2418 levy:031.161
hdl:1774.2/2419 levy:173.058a
hdl:1774.2/2420 levy:123.005
hdl:1774.2/2421 levy:180.078
hdl:1774.2/2422 levy:097.201
hdl:1774.2/2423 levy:181.019
hdl:1774.2/2424 levy:038.072
hdl:1774.2/2425 levy:087.011
hdl:1774.2/2426 levy:130.070
hdl:1774.2/2427 levy:174.083
hdl:1774.2/2428 levy:096.065
hdl:1774.2/2429 levy:045.079a
hdl:1774.2/2430 levy:140.052
hdl:1774.2/2431 levy:186.025
hdl:1774.2/2432 levy:094.080
hdl:1774.2/2433 levy:044.111
hdl:1774.2/2434 levy:182.094
hdl:1774.2/2435 levy:032.082
hdl:1774.2/2436 levy:059.026
hdl:1774.2/2437 levy:157.101
hdl:1774.2/2438 levy:108.114f
hdl:1774.2/2439 levy:178.028
hdl:1774.2/2440 levy:172.033
hdl:1774.2/2441 levy:131.065
hdl:1774.2/2442 levy:083.131
hdl:1774.2/2443 levy:191b.152a
hdl:1774.2/2444 levy:053.046
hdl:1774.2/2445 levy:025.157
hdl:1774.2/2446 levy:106.036
hdl:1774.2/2447 levy:156.185
hdl:1774.2/2448 levy:191b.047a
hdl:1774.2/2449 levy:061.105
hdl:1774.2/2450 levy:038.039
hdl:1774.2/2451 levy:191b.083
hdl:1774.2/2452 levy:133.111
hdl:1774.2/2453 levy:042.085
hdl:1774.2/2454 levy:092.065
hdl:1774.2/2455 levy:037.007
hdl:1774.2/2456 levy:056.063
hdl:1774.2/2457 levy:148.153
hdl:1774.2/2458 levy:114.030
hdl:1774.2/2459 levy:105.096
hdl:1774.2/2461 levy:067.101
hdl:1774.2/2462 levy:115.171
hdl:1774.2/2463 levy:047.079
hdl:1774.2/2464 levy:072.132
hdl:1774.2/2465 levy:191a.129
hdl:1774.2/2466 levy:075.062
hdl:1774.2/2467 levy:059.148
hdl:1774.2/2468 levy:054.127
hdl:1774.2/2469 levy:158.198
hdl:1774.2/2470 levy:108.122
hdl:1774.2/2471 levy:088.078
hdl:1774.2/2472 levy:008.004
hdl:1774.2/2473 levy:159.016a
hdl:1774.2/2474 levy:077.017
hdl:1774.2/2475 levy:093.075
hdl:1774.2/2476 levy:164.033
hdl:1774.2/2477 levy:041.051a
hdl:1774.2/2478 levy:095.040
hdl:1774.2/2479 levy:059.096
hdl:1774.2/2480 levy:129.054
hdl:1774.2/2481 levy:064.103
hdl:1774.2/2482 levy:080.005
hdl:1774.2/2483 levy:112.079
hdl:1774.2/2484 levy:104.118
hdl:1774.2/2485 levy:186.015
hdl:1774.2/2486 levy:092.105
hdl:1774.2/2487 levy:172.036
hdl:1774.2/2488 levy:004.127
hdl:1774.2/2489 levy:137.052
hdl:1774.2/2491 levy:191.161
hdl:1774.2/2492 levy:094.101
hdl:1774.2/2493 levy:131.082
hdl:1774.2/2494 levy:117.115
hdl:1774.2/2495 levy:048.064
hdl:1774.2/2496 levy:063.014a
hdl:1774.2/2497 levy:004.057
hdl:1774.2/2498 levy:013.095
hdl:1774.2/2499 levy:150.062a
hdl:1774.2/2500 levy:069.069
hdl:1774.2/2501 levy:049.073
hdl:1774.2/2502 levy:133.043
hdl:1774.2/2503 levy:167.089
hdl:1774.2/2504 levy:098.051
hdl:1774.2/2505 levy:158.164
hdl:1774.2/2506 levy:076.044
hdl:1774.2/2507 levy:131.027
hdl:1774.2/2508 levy:131.106
hdl:1774.2/2509 levy:040.098
hdl:1774.2/2510 levy:100.013
hdl:1774.2/2511 levy:097.144
hdl:1774.2/2512 levy:072.070
hdl:1774.2/2513 levy:060.151
hdl:1774.2/2514 levy:168.112
hdl:1774.2/2515 levy:001.111
hdl:1774.2/2516 levy:077.185
hdl:1774.2/2517 levy:075.020
hdl:1774.2/2518 levy:135.065
hdl:1774.2/2519 levy:039.062
hdl:1774.2/2520 levy:140.032
hdl:1774.2/2521 levy:037.031
hdl:1774.2/2522 levy:174.105
hdl:1774.2/2523 levy:182.057
hdl:1774.2/2524 levy:150a.100
hdl:1774.2/2525 levy:030.108
hdl:1774.2/2526 levy:193.009
hdl:1774.2/2527 levy:035.031
hdl:1774.2/2528 levy:004.073
hdl:1774.2/2529 levy:121.045
hdl:1774.2/2530 levy:049.119
hdl:1774.2/2531 levy:073a.032
hdl:1774.2/2532 levy:115.045
hdl:1774.2/2533 levy:008.081
hdl:1774.2/2534 levy:165.063
hdl:1774.2/2535 levy:004.047
hdl:1774.2/2536 levy:016.031b
hdl:1774.2/2537 levy:085.026
hdl:1774.2/2538 levy:088.046
hdl:1774.2/2539 levy:045.032
hdl:1774.2/2540 levy:131.156
hdl:1774.2/2541 levy:063.046
hdl:1774.2/2542 levy:150.063
hdl:1774.2/2543 levy:051.095
hdl:1774.2/2544 levy:135.051c
hdl:1774.2/2545 levy:092.031
hdl:1774.2/2546 levy:130.077
hdl:1774.2/2547 levy:100.105
hdl:1774.2/2548 levy:143.091
hdl:1774.2/2549 levy:012.100
hdl:1774.2/2550 levy:146.159
hdl:1774.2/2551 levy:087.058
hdl:1774.2/2552 levy:116.063
hdl:1774.2/2553 levy:191a.190
hdl:1774.2/2554 levy:059.108
hdl:1774.2/2555 levy:190.066
hdl:1774.2/2556 levy:083.118
hdl:1774.2/2557 levy:075.082
hdl:1774.2/2558 levy:090.160
hdl:1774.2/2559 levy:165.039
hdl:1774.2/2560 levy:009.095
hdl:1774.2/2561 levy:041.077
hdl:1774.2/2562 levy:083.014
hdl:1774.2/2563 levy:171.015
hdl:1774.2/2564 levy:007.045
hdl:1774.2/2565 levy:093.052
hdl:1774.2/2566 levy:035.092
hdl:1774.2/2567 levy:119.062
hdl:1774.2/2569 levy:162.120
hdl:1774.2/2570 levy:090.068
hdl:1774.2/2571 levy:147.041
hdl:1774.2/2572 levy:096.254
hdl:1774.2/2573 levy:139.011
hdl:1774.2/2574 levy:193.278
hdl:1774.2/2575 levy:137.014
hdl:1774.2/2576 levy:158.070
hdl:1774.2/2577 levy:154a.025a
hdl:1774.2/2578 levy:147.173
hdl:1774.2/2579 levy:080.201
hdl:1774.2/2580 levy:089.138
hdl:1774.2/2581 levy:045.003
hdl:1774.2/2582 levy:136.041
hdl:1774.2/2583 levy:193.055
hdl:1774.2/2584 levy:082.103
hdl:1774.2/2585 levy:016.126
hdl:1774.2/2586 levy:047.040
hdl:1774.2/2587 levy:137.001
hdl:1774.2/2588 levy:174.043
hdl:1774.2/2589 levy:173.026
hdl:1774.2/2590 levy:084.059
hdl:1774.2/2591 levy:172.079
hdl:1774.2/2592 levy:075.119
hdl:1774.2/2593 levy:008.018
hdl:1774.2/2594 levy:134.020
hdl:1774.2/2595 levy:035.059
hdl:1774.2/2596 levy:147.110
hdl:1774.2/2597 levy:015.121
hdl:1774.2/2598 levy:088.120
hdl:1774.2/2599 levy:012.021
hdl:1774.2/2600 levy:193.157
hdl:1774.2/2601 levy:110.123
hdl:1774.2/2602 levy:127.096
hdl:1774.2/2603 levy:057.025
hdl:1774.2/2604 levy:170.117
hdl:1774.2/2605 levy:089.124
hdl:1774.2/2606 levy:074.149
hdl:1774.2/2607 levy:191a.055a
hdl:1774.2/2608 levy:020.214
hdl:1774.2/2609 levy:092.008
hdl:1774.2/2610 levy:031.170
hdl:1774.2/2611 levy:066.067a
hdl:1774.2/2612 levy:117.022
hdl:1774.2/2613 levy:119.018
hdl:1774.2/2614 levy:020.004
hdl:1774.2/2615 levy:105.066
hdl:1774.2/2616 levy:155.039a
hdl:1774.2/2617 levy:058.151
hdl:1774.2/2618 levy:086.098
hdl:1774.2/2619 levy:183.010
hdl:1774.2/2620 levy:053.033
hdl:1774.2/2621 levy:174.096
hdl:1774.2/2622 levy:171.095
hdl:1774.2/2623 levy:104.086
hdl:1774.2/2624 levy:181.010
hdl:1774.2/2625 levy:075.043
hdl:1774.2/2626 levy:077.069
hdl:1774.2/2627 levy:170.003
hdl:1774.2/2628 levy:179.019
hdl:1774.2/2629 levy:138.092
hdl:1774.2/2630 levy:058.113
hdl:1774.2/2631 levy:008.052
hdl:1774.2/2632 levy:109.105
hdl:1774.2/2633 levy:128.021
hdl:1774.2/2634 levy:009.060
hdl:1774.2/2635 levy:174.107
hdl:1774.2/2636 levy:078.208
hdl:1774.2/2637 levy:193.206
hdl:1774.2/2638 levy:040.092
hdl:1774.2/2639 levy:097.288
hdl:1774.2/2640 levy:140.157
hdl:1774.2/2641 levy:094.017
hdl:1774.2/2642 levy:182.046
hdl:1774.2/2643 levy:094.083
hdl:1774.2/2644 levy:078.232
hdl:1774.2/2645 levy:190.127
hdl:1774.2/2646 levy:090.067
hdl:1774.2/2647 levy:108.091
hdl:1774.2/2648 levy:045.054
hdl:1774.2/2649 levy:129.033
hdl:1774.2/2650 levy:027.073
hdl:1774.2/2651 levy:137.029
hdl:1774.2/2652 levy:121.096
hdl:1774.2/2653 levy:089.050
hdl:1774.2/2654 levy:159.006
hdl:1774.2/2655 levy:013.101
hdl:1774.2/2656 levy:137.101
hdl:1774.2/2657 levy:111.088
hdl:1774.2/2658 levy:153.028
hdl:1774.2/2659 levy:047.001
hdl:1774.2/2660 levy:078.129
hdl:1774.2/2661 levy:080.220
hdl:1774.2/2662 levy:191b.071a
hdl:1774.2/2663 levy:191a.069
hdl:1774.2/2664 levy:186.029
hdl:1774.2/2665 levy:089.099
hdl:1774.2/2666 levy:157.121
hdl:1774.2/2667 levy:017.002e
hdl:1774.2/2668 levy:077.054
hdl:1774.2/2669 levy:058.073
hdl:1774.2/2670 levy:033.011
hdl:1774.2/2671 levy:156.222
hdl:1774.2/2672 levy:155.223
hdl:1774.2/2673 levy:096.096
hdl:1774.2/2674 levy:168.082
hdl:1774.2/2675 levy:154.080
hdl:1774.2/2676 levy:121.111
hdl:1774.2/2677 levy:149.073
hdl:1774.2/2678 levy:109.072
hdl:1774.2/2679 levy:080.186
hdl:1774.2/2680 levy:193.050
hdl:1774.2/2681 levy:067.099
hdl:1774.2/2682 levy:140.076
hdl:1774.2/2683 levy:104.142
hdl:1774.2/2684 levy:191a.096a
hdl:1774.2/2685 levy:168.028
hdl:1774.2/2686 levy:144.046
hdl:1774.2/2687 levy:038.156
hdl:1774.2/2688 levy:085.014
hdl:1774.2/2689 levy:051.007
hdl:1774.2/2690 levy:155.062
hdl:1774.2/2691 levy:025.113
hdl:1774.2/2692 levy:042.038
hdl:1774.2/2693 levy:074.012
hdl:1774.2/2694 levy:109.129
hdl:1774.2/2695 levy:075.135
hdl:1774.2/2696 levy:001.015
hdl:1774.2/2697 levy:011.020
hdl:1774.2/2698 levy:159.090a
hdl:1774.2/2699 levy:160.058
hdl:1774.2/2700 levy:118.039
hdl:1774.2/2701 levy:189.115b
hdl:1774.2/2702 levy:152.064
hdl:1774.2/2703 levy:131.157
hdl:1774.2/2704 levy:093.126
hdl:1774.2/2705 levy:035.001
hdl:1774.2/2706 levy:048.068
hdl:1774.2/2707 levy:166.131
hdl:1774.2/2708 levy:147.103
hdl:1774.2/2709 levy:129.040
hdl:1774.2/2710 levy:148.007
hdl:1774.2/2711 levy:111.026
hdl:1774.2/2712 levy:139.063
hdl:1774.2/2713 levy:100.020a
hdl:1774.2/2714 levy:175.061
hdl:1774.2/2715 levy:067.008
hdl:1774.2/2716 levy:164.086
hdl:1774.2/2717 levy:031.040
hdl:1774.2/2718 levy:026.046b
hdl:1774.2/2719 levy:059.133
hdl:1774.2/2720 levy:155.146
hdl:1774.2/2721 levy:117.049
hdl:1774.2/2722 levy:087.057
hdl:1774.2/2723 levy:069.073
hdl:1774.2/2724 levy:030.062
hdl:1774.2/2725 levy:155.108a
hdl:1774.2/2726 levy:033.007
hdl:1774.2/2727 levy:191a.156
hdl:1774.2/2728 levy:092.109
hdl:1774.2/2729 levy:168.020
hdl:1774.2/2730 levy:184.028
hdl:1774.2/2731 levy:154.145a
hdl:1774.2/2732 levy:037.064
hdl:1774.2/2733 levy:043.100
hdl:1774.2/2734 levy:093.084
hdl:1774.2/2735 levy:193.276
hdl:1774.2/2736 levy:174.019
hdl:1774.2/2737 levy:144.150
hdl:1774.2/2738 levy:110.051
hdl:1774.2/2739 levy:160.031
hdl:1774.2/2740 levy:007.107
hdl:1774.2/2741 levy:127.112
hdl:1774.2/2742 levy:108.099
hdl:1774.2/2743 levy:050.020
hdl:1774.2/2744 levy:152.161a
hdl:1774.2/2745 levy:081.173b
hdl:1774.2/2746 levy:074.138
hdl:1774.2/2747 levy:061.071
hdl:1774.2/2748 levy:125.112
hdl:1774.2/2749 levy:103.031
hdl:1774.2/2750 levy:001.076
hdl:1774.2/2751 levy:028.089
hdl:1774.2/2752 levy:128.054
hdl:1774.2/2753 levy:044.084
hdl:1774.2/2754 levy:120.002
hdl:1774.2/2755 levy:077.035
hdl:1774.2/2756 levy:016.002
hdl:1774.2/2757 levy:132.119
hdl:1774.2/2758 levy:130.091
hdl:1774.2/2759 levy:023.062
hdl:1774.2/2760 levy:014.113
hdl:1774.2/2761 levy:169.066
hdl:1774.2/2762 levy:017.025
hdl:1774.2/2763 levy:157.137
hdl:1774.2/2764 levy:078.065
hdl:1774.2/2765 levy:140.119
hdl:1774.2/2766 levy:111.115
hdl:1774.2/2767 levy:147.171
hdl:1774.2/2768 levy:193.071
hdl:1774.2/2769 levy:042.041
hdl:1774.2/2770 levy:153.117b
hdl:1774.2/2771 levy:059.022
hdl:1774.2/2772 levy:141.128
hdl:1774.2/2773 levy:037.010
hdl:1774.2/2774 levy:187.102
hdl:1774.2/2775 levy:132.084
hdl:1774.2/2776 levy:160.011
hdl:1774.2/2777 levy:005.038a
hdl:1774.2/2778 levy:018.053
hdl:1774.2/2779 levy:032.092
hdl:1774.2/2780 levy:147.029
hdl:1774.2/2781 levy:189.172
hdl:1774.2/2782 levy:090.049
hdl:1774.2/2783 levy:108.096
hdl:1774.2/2784 levy:026.095
hdl:1774.2/2785 levy:173.002
hdl:1774.2/2786 levy:146.151
hdl:1774.2/2787 levy:094.137
hdl:1774.2/2788 levy:132.029
hdl:1774.2/2789 levy:114.146
hdl:1774.2/2790 levy:038.006
hdl:1774.2/2791 levy:156.033a
hdl:1774.2/2792 levy:180.064
hdl:1774.2/2793 levy:127.079
hdl:1774.2/2794 levy:025.017
hdl:1774.2/2795 levy:055.021
hdl:1774.2/2796 levy:043.005
hdl:1774.2/2797 levy:043.128
hdl:1774.2/2798 levy:096.298
hdl:1774.2/2799 levy:157.008
hdl:1774.2/2800 levy:057.094
hdl:1774.2/2801 levy:150.005
hdl:1774.2/2802 levy:167.007
hdl:1774.2/2803 levy:029.021
hdl:1774.2/2804 levy:105.124
hdl:1774.2/2805 levy:191.085
hdl:1774.2/2806 levy:089.121
hdl:1774.2/2807 levy:085.005
hdl:1774.2/2808 levy:128.059
hdl:1774.2/2809 levy:063.083
hdl:1774.2/2810 levy:170.076
hdl:1774.2/2811 levy:005.017
hdl:1774.2/2812 levy:033.085
hdl:1774.2/2813 levy:042.132
hdl:1774.2/2814 levy:105.086
hdl:1774.2/2815 levy:187.070
hdl:1774.2/2816 levy:024.042
hdl:1774.2/2817 levy:017.061
hdl:1774.2/2818 levy:151.047
hdl:1774.2/2819 levy:017.058
hdl:1774.2/2820 levy:151.167
